pmid,title,abstract,journal,publication_date,doi,source_url,retrieved_at
42657140,Early Gastric Cancer Detected During 15-year Surveillance After Ménétrier Disease Remission and Successfully Treated With Endoscopic Submucosal Dissection: A Case Report.,"Ménétrier disease (MD) was diagnosed based on hypoalbuminemia and giant gastric folds extending from the body to the fundus in a woman in her 70s. A serum anti-Helicobacter pylori antibody test and urea breath test yielded negative results. Remission was achieved with steroid therapy, and she was relapse-free with the use of a proton pump inhibitor. Annual esophagogastroduodenoscopy (EGD) was continued for gastric cancer surveillance. Fifteen years after the diagnosis of MD, a type 0-I well-differentiated tubular adenocarcinoma was detected on the posterior wall of the upper gastric body. EGD, computed tomography, and endoscopic ultrasonography revealed no findings suggestive of MD recurrence, and the lesion was considered intramucosal. Endoscopic submucosal dissection resulted in curative en bloc resection. Histopathology revealed no evidence of active MD. The patient remained free of MD relapse and gastric cancer recurrence. MD is characterized by giant gastric folds and protein-losing gastroenteropathy, and it is considered a risk factor for gastric cancer. However, reports of gastric cancer diagnosed at an early stage and treated endoscopically during long-term follow-up after clinical remission induced by medical therapy, as in the present case, are rare. This case highlights the importance of continued endoscopic surveillance for gastric carcinogenesis even after long-term clinical remission of MD.",DEN open,2027,10.1002/deo2.70389,https://pubmed.ncbi.nlm.nih.gov/42657140/,2026-09-07T00:41:49.027970+00:00
42609944,Evaluation of Computer-aided Detection for Identifying Missed Gastric Cancer After Endoscopic Submucosal Dissection.,"Computer-aided detection (CADe) using deep learning is promising for reducing missed gastric cancers (MGCs) and supporting physicians in double-checking endoscopic images. We aimed to evaluate the CADe efficacy for MGCs after endoscopic submucosal dissection (ESD). We collected 2324 endoscopic images, including 60 of MGCs detected during surveillance esophagogastroduodenoscopy within 18 months after initial ESD. The performance of the CADe system, developed for early GC detection using deep learning, was compared with that of 10 endoscopists in a detection study using collected images. Per-lesion sensitivity, per-image detection performance, and diagnostic time were compared. The per-lesion sensitivity for MGCs was 15.0% (9/60) and 13.8% (83/600) for CADe and endoscopist detection, respectively (p = 0.538). The respective per-image computer-aided and endoscopist performance sensitivity was 11.3% and 10.6% (p = 0.548), specificity 88.5% and 94.8% (p < 0.001), positive predictive value 4.4% and 8.3%, and negative predictive value 95.7% and 96.0%. The per-image CADe time was significantly shorter (0.03 s vs. 2.86 s, p < 0.001). CADe showed higher sensitivity in certain subgroups, although these findings should be interpreted cautiously given the small sample size. No significant difference in sensitivity was observed between CADe and endoscopist detection for MGCs after ESD, and the absolute sensitivity remained low. Further improvements are needed before clinical implementation of CADe as a double-checking tool. The authors have confirmed clinical trial registration is not needed for this submission.",DEN open,2027,10.1002/deo2.70357,https://pubmed.ncbi.nlm.nih.gov/42609944/,2026-09-07T00:41:49.028043+00:00
42524027,Benefit of Linked-Color Imaging in Artificial Intelligence-Assisted Diagnosis of Early Gastric Cancer: A Pilot Study With Propensity Score Adjustment.,"Artificial intelligence (AI)-assisted endoscopy represents a promising approach for lesion detection, yet frequent false-positive detections impair clinical utility by disrupting examinations and diminishing physician confidence. Linked-color imaging (LCI), an image-enhanced endoscopy technique that amplifies mucosal and vascular contrast, may address this limitation. This investigation evaluated whether LCI reduces false-positive AI detections compared with white-light imaging (WLI). This retrospective study analyzed consecutive AI-assisted upper endoscopies performed between March 2024 and June 2025. WLI and LCI were performed sequentially within the same endoscopic session in each patient. False-positive AI detections were compared between modalities using two computer-aided detection (CAD) versions. Propensity score adjustment was used as a sensitivity analysis for baseline differences between CAD Versions I and II. Of 66 initially screened cases, 63 remained after excluding patients with prior gastric surgery. LCI reduced false-positive AI detections compared with WLI (median 2 vs. 5; p < 0.001). In CAD version-stratified sensitivity analyses, LCI reduced false-positive AI detections in both Version I (5 to 2; p = 0.01) and Version II (2 to 0; p = 0.03). This reduction remained consistent across atrophic grades. Both imaging modalities identified all gastric lesions, achieving 100% detection sensitivity. LCI assessment performed after WLI observation yielded fewer false-positive CAD-EYE detections while maintaining lesion detection sensitivity. However, because the observation sequence was fixed, these findings should be interpreted cautiously and require confirmation in prospective or counterbalanced studies. Trial Registration: N/A (retrospective study).",DEN open,2027,10.1002/deo2.70381,https://pubmed.ncbi.nlm.nih.gov/42524027/,2026-09-07T00:41:49.028094+00:00
42507757,Stress-specific 14-3-3-client modules in digestive cancers: an evidence-graded review of adaptive survival and therapy resistance.,"14-3-3 proteins are phosphoserine- and phosphothreonine-binding adaptors that regulate client localization, stability and activity under cellular stress. This narrative review synthesizes stress-specific 14-3-3-client modules in gastric, colorectal, pancreatic, hepatocellular and biliary cancers. Modules were classified as high, moderate, early/context-dependent or background according to mechanistic evidence, functional perturbation, client mapping, treatment-state validation and clinical association. In gastric cancer, G3BP stress granule assembly factor 1 (G3BP1) cooperates with YWHAZ-encoded 14-3-3ζ to retain pro-apoptotic Bax in the cytoplasm. In colorectal cancer, SFN-encoded 14-3-3σ restricts Yin Yang 1 (YY1), sustaining the unfolded protein response and chemotherapy tolerance. In pancreatic cancer, SFN-encoded 14-3-3σ interacts with Yes-associated protein 1 (YAP1) to promote ribonucleotide reductase expression and gemcitabine resistance. In hepatobiliary cancers, SFN-related modules support anoikis resistance but remain context dependent. Clinically relevant units are stress-specific 14-3-3-client complexes rather than total 14-3-3 expression.",Cancer biology & therapy,2026,10.1080/15384047.2026.2710413,https://pubmed.ncbi.nlm.nih.gov/42507757/,2026-09-07T00:41:49.028140+00:00
41589618,Research progress on animal models of autoimmune gastritis.,"Autoimmune gastritis (AIG) is an autoimmune disease characterized primarily by the destruction of gastric parietal cell structure and atrophy of the gastric fundic and body mucosa. The global prevalence of AIG is approximately 3.85%. Its main complications include pernicious anemia, gastric neuroendocrine tumors, and gastric cancer, which pose significant health risks. Currently, targeted treatment options for AIG are lacking worldwide. Animal models of AIG are crucial for investigating its pathogenesis and for developing drug therapies. However, reproducible methods for establishing AIG animal models remain scarce. This article provides a systematic review of internationally employed methods for modeling AIG in animals. These methods are categorized and discussed based on the modeling approaches and mechanisms, including neonatal thymectomy, genetically modified animals such as TxA23 and Ctox mice, inducer-based methods such as H⁺/K⁺-ATPase immunization, viral infection, and combined modeling strategies. In addition, the types of modeling agents and the time required for model establishment are also examined. This review highlights existing challenges, such as the lack of uniform modeling standards and evaluation criteria, and aims to provide a foundation for further exploration of AIG.",Autoimmunity,2026,10.1080/08916934.2026.2620256,https://pubmed.ncbi.nlm.nih.gov/41589618/,2026-09-07T00:41:49.028184+00:00
42569414,Eradicating Helicobacter pylori and reversing precancerous intestinal metaplasia by gastric epithelial cells-localizable oral nanomedicines.,"The ability to treat Helicobacter pylori (H. pylori) infection and eliminate its associated gastric cancer risk is highly desirable but has proven to be extremely difficult. In this study, pilot proteomic screening of clinical gastric mucosal samples suggested a progressive decline in Sirtuin 1 abundance along the H. pylori-associated pathological cascade. Based on these findings, gastric epithelial cells-localizable oral nanomedicines (GLONs) are developed, whereby H. pylori eradication and reversal of precancerous intestinal metaplasia (IM) are simultaneously achieved via Sirtuin 1 restoration. GLONs are constructed by coating resveratrol, lactoferrin, and disulfide modified-fucoidan (DFu) co-assembled nanoparticles (RLF) with engineered mucin-overexpressing gastric epithelial cell membranes. The shell of GLONs resists gastric acid, enhances mucus penetration and epithelial cells uptake. After internalization, DFu undergoes oxidative destabilization in the H2O2-enriched infectious microenvironment induced by H. pylori, thereby triggering RLF core dissociation and subsequent component release. The resveratrol restored H. pylori infection-induced impairment of Sirtuin 1, thereby activating autophagy. Meanwhile, lactoferrin promoted antimicrobial peptide production and synergized with fucoidan-mediated enhancement of antigen presentation, ultimately enabling the clearance of both intracellular and extracellular H. pylori. In metaplastic gastric cells, Sirtuin 1 repairs damaged DNA, and inhibits malignant proliferation. In mouse models, under the tested 7-day regimen, GLONs produced greater reductions in gastric H. pylori burden and more pronounced improvements in IM-related phenotypes than the abbreviated triple-therapy. GLONs represent an innovative and highly efficient therapeutic platform for H. pylori infection and its complications.",Bioactive materials,2026,10.1016/j.bioactmat.2026.07.030,https://pubmed.ncbi.nlm.nih.gov/42569414/,2026-09-07T00:41:49.028233+00:00
42466845,Intramuscular patient-derived xenografts achieve high engraftment rates in gastric cancer: implications for pharmacodynamic testing and genomic biomarker discovery.,"Gastric cancer (GC) exhibits marked inter-patient heterogeneity, limiting empirical chemotherapy efficacy. Patient-derived xenograft (PDX) models preserve the molecular features of parental tumors and can serve as pharmacodynamic surrogates, but conventional subcutaneous PDX suffers from low engraftment rates. This study evaluated an optimized intramuscular PDX platform for individualized drug testing in GC and applied whole exome sequencing (WES) for biomarker identification (Clinical trial registry: ChiCTR-OOC-17012731). Ninety-eight treatment-naive GC patients were enrolled between April 2018 and December 2020. Fresh tumor tissues were engrafted into NCG mice by intramuscular transplantation. Drug efficacy was evaluated using tumor cell necrosis rate and Ki-67 expression. WES was performed on 32 engrafted tumorgrafts to characterize driver mutations in fast- and slow-growing subgroups. An engraftment rate of 71.7% (43/60) was achieved, substantially exceeding rates reported in prior studies. Clinical characteristics were independent of engraftment success and outgrowth time (all p > 0.05). Fast- and slow-growing tumorgrafts diverged in frequently altered genes: KMT2C, APOB, CDK12 and MSH2 predominated in fast-growing grafts, whereas TP53, CHD3 and TET2 were enriched in slow-growing grafts. Slow-growing tumorgrafts correlated with longer progression-free survival (p = 0.02). PDX-guided treatment was associated with improved prognosis. Intramuscular transplantation into NCG mice yields high engraftment rates for GC PDX. PDX-guided chemotherapy selection is associated with favorable outcomes. Driver mutation divergence between fast- and slow-growing tumorgrafts provides candidate prognostic biomarkers.",Annals of medicine,2026,10.1080/07853890.2026.2680340,https://pubmed.ncbi.nlm.nih.gov/42466845/,2026-09-07T00:41:49.028302+00:00
42253411,Factors associated with psychological distress among newly diagnosed patients with gastric cancer: A cross-sectional study.,"To investigate the factors associated with psychological distress in patients newly diagnosed with gastric cancer. This study used a descriptive cross-sectional design. The participants were 173 patients newly diagnosed with gastric cancer who had not yet initiated any treatment. They were recruited from a tertiary hospital in South Korea between December 2023 and September 2025. Data were collected using self-administered questionnaires including the Brief Illness Perception Questionnaire, Supportive Care Needs Survey-Short Form 34, M.D. Anderson Symptom Inventory-Gastrointestinal Cancer Module, and the Hospital Anxiety and Depression Scale. Data were analyzed using descriptive statistics, Pearson's correlation, and hierarchical multiple regression. The mean psychological distress score was 12.8 ± 7.4 and 46.2% of participants were classified as having clinically significant psychological distress. Psychological distress was significantly positively correlated with illness perception, unmet care needs, and symptom severity. Hierarchical regression analysis revealed that illness perception (β = 0.41, P < 0.001), unmet care needs (β = 0.28, P < 0.001), and symptom severity (β = 0.16, P = 0.009) were significantly associated with psychological distress, collectively accounting for 52.6% of its variance. Psychological distress is common in newly diagnosed patients with gastric cancer. Customized nursing interventions aimed at addressing patients' illness perceptions, managing symptoms, and meeting supportive care needs even before treatment initiation may be beneficial for alleviating psychological distress and promoting better psychological adjustment.",Asia-Pacific journal of oncology nursing,2026,10.1016/j.apjon.2026.100981,https://pubmed.ncbi.nlm.nih.gov/42253411/,2026-09-07T00:41:49.028351+00:00
42163716,In vitro screening of compounds for targeting gastric cancer with Y220C p53 mutation: a molecule combining zinc chelation and a Michael acceptor drives CDKN1 and BBC3 expression to restore a p53-dependent cytotoxicity.,"Point mutations in p53 favour tumour aggressivity, particularly in gastric cancer (GC), and offer a target for small molecule-based anticancer treatments. This study focused on the p53-Y220C mutation, which causes p53 misfolding due to thermal instability associated with the creation of a pocket that may accommodate small molecules. This mutation also creates an additional free cysteine thiol group that may react with Michael acceptors. Using an integrated in silico and in vitro approach, four compounds (AG1, AG2, AG3, and RK349) were screened for potential reactivation of p53-Y220C in GC cells. AG3, a compound with zinc chelation and Michael acceptor properties, was found to induce p53 target gene expression via p53-dependent and -independent pathways. AG3 limited reactive oxygen species production, reducing toxicity to healthy cells. Furthermore, AG3 induced p53-dependent cytotoxicity and enhanced chemotherapy response. This study presents a novel compound with p53-Y220C reactivation potential, highlighting its promise for further development.",Journal of enzyme inhibition and medicinal chemistry,2026,10.1080/14756366.2026.2638836,https://pubmed.ncbi.nlm.nih.gov/42163716/,2026-09-07T00:41:49.028388+00:00
42157432,Photodynamic therapy: research progress and paradigm evolution from mechanism innovation to clinical breakthrough in cancers.,"FactsPhotodynamic therapy (PDT) is a minimally invasive anticancer modality based on the light-mediated activation of photosensitizers to generate reactive oxygen species and induce tumor cell death.PDT has demonstrated clinical efficacy in treating various tumor types, including esophageal cancer, gastric cancer, lung cancer, skin cancer, bladder cancer, cervical cancer, ovarian cancer, and glioblastoma.The antitumor effects of PDT are mediated not only by direct tumor cell killing but also by vascular damage, immunogenic cell death, and activation of antitumor immune responses.Nanotechnology-based photosensitizer delivery systems and tumor microenvironment modulation strategies have improved the targeting, oxygenation, and therapeutic efficacy of PDT.Combination strategies that integrate PDT with chemotherapy, radiotherapy, targeted therapy, and immunotherapy are an important way to enhance clinical efficacy and overcome treatment resistance.Open QuestionsHow can photosensitizer selectivity, tumor accumulation, and tissue penetration be further improved to enhance PDT efficacy while minimizing off-target toxicity?What are the optimal light parameters, drug-light intervals, and dosimetry standards for different tumor types and treatment settings?How can tumor hypoxia and oxygen depletion during PDT be effectively overcome in deep-seated or poorly vascularized tumors?What is the optimal timing and sequencing of PDT combined with immunotherapy, chemotherapy, or radiotherapy to maximize the antitumor effect?How can large-scale, multicenter clinical trials be designed to standardize PDT protocols and validate their long-term efficacy, safety, and clinical applications? Photodynamic therapy is a noninvasive anticancer treatment that uses light-activated photosensitizers to generate reactive oxygen species. However, its clinical efficacy is severely limited by tumor hypoxia and rapid oxygen depletion during the type II photochemical reaction. To address these challenges, we synthesized data from randomized controlled trials and meta-analyses published between 2000 and 2025. Our review shows that photodynamic therapy significantly increases survival rates in patients with malignant pleural effusion and achieves high complete response rates in patients with esophageal and gastric cancers. However, a risk-of-bias assessment reveals limitations in study design regarding blinding and sample size. Crucially, we identify gas-mediated therapies as the next paradigm shift. This review discusses emerging strategies to overcome tumor hypoxia and improve the efficacy of photodynamic therapy. These strategies include oxygen-generating nanoplatforms, tumor microenvironment modulation, and combination approaches with chemotherapy, radiotherapy, and immunotherapy. Additionally, we discuss the critical role of sequential immunotherapy and propose standardized dosimetry protocols that report irradiance and drug-light intervals. These protocols aim to facilitate global regulatory harmonization and clinical reproducibility.",Medical gas research,2026,10.4103/mgr.MEDGASRES-D-25-00315,https://pubmed.ncbi.nlm.nih.gov/42157432/,2026-09-07T00:41:49.028441+00:00
