nct_id,brief_title,overall_status,phase,enrollment,sponsor,interventions,primary_outcomes,countries,study_start,primary_completion,last_update_posted,source_url,retrieved_at
NCT03814629,Clinical Study of Weifuchun Treatment on Precancerous Lesions of Gastric Cancer,UNKNOWN,EARLY_PHASE1,120,ShuGuang Hospital,Weifuchun,histopathology is assessing a change; gastroscopy is assessing a change; Clinical symptom score is assessing a change,,2015-08-01,2019-09-30,,https://clinicaltrials.gov/study/NCT03814629,2026-09-21T00:38:01.688615+00:00
NCT07749586,A Study to Evaluate ARV-6723 Alone and With Pembrolizumab in Participants With Advanced Solid Tumors,RECRUITING,PHASE1; PHASE2,499,Arvinas Inc.,ARV-6723; Pembrolizumab; SOC,"Part A1: Number of Dose-Limiting Toxicities (DLTs) of ARV-6723; Part A1: Number of Participants With Adverse Events (AEs); Part A2: Number of Participants With AEs; Part A2: Overall Response Rate (ORR) by computed tomography/magnetic resonance imaging (CT/MRI) Using Response Evaluation Criteria in Solid Tumors, version 1.1 (RECIST 1.1) Criteria Per Investigator Assessment; Part B: ORR by CT/MRI using RECIST v1.1 Criteria Per Investigator Assessment",United States,2026-07-29,2031-03-31,,https://clinicaltrials.gov/study/NCT07749586,2026-09-21T00:38:01.688648+00:00
NCT03957096,A Safety Study of SGN-CD47M in Patients With Solid Tumors,TERMINATED,PHASE1,16,Seagen Inc.,SGN-CD47M,Number of patients with adverse events; Number of patients with laboratory abnormalities; Number of patients with dose-limiting toxicities (DLTs),United States,2019-07-17,2020-09-14,,https://clinicaltrials.gov/study/NCT03957096,2026-09-21T00:38:01.688658+00:00
NCT02663427,Serological Screening of Gastric Cancer in Wuxi Region,UNKNOWN,NA,5000,Wuxi People's Hospital,serological examination and gastroscope,detection rate of gastric cancer among all group,,2016-01,2018-01,,https://clinicaltrials.gov/study/NCT02663427,2026-09-21T00:38:01.688664+00:00
NCT02178956,A Study of BBI608 Plus Weekly Paclitaxel to Treat Gastric and Gastro-Esophageal Junction Cancer,COMPLETED,PHASE3,714,"Sumitomo Pharma America, Inc.",BBI608; Paclitaxel; Placebo,Overall Survival,Australia; Belgium; Brazil; Bulgaria; Canada; China; Czechia; Estonia; France; Germany; Hungary; Israel; Italy; Japan; Lithuania; Poland; Romania; Russia; South Korea; Spain; United Kingdom; United States,2014-10,2017-09-20,,https://clinicaltrials.gov/study/NCT02178956,2026-09-21T00:38:01.688698+00:00
NCT05005403,"Study to Assess Adverse Events and Pharmacokinetics in Adult Participants With Non-Small Cell Lung Cancer, Head and Neck Squamous Cell Carcinoma and Other Solid Tumors, Receiving Intravenous Infusion of Azirkitug Alone or in Combination(s) With Budigalimab, Bevacizumab, or Telisotuzumab Adizutecan",RECRUITING,PHASE1,694,AbbVie,Azirkitug; Budigalimab; Bevacizumab; Telisotuzumab Adizutecan,Number of Participants with Adverse Events (AE); Maximum Observed Serum Concentration (Cmax) of Azirkitug; Time to Maximum Observed Serum Concentration (Tmax) of Azirkitug; Terminal Elimination Half-Life (t1/2) of Azirkitug; Area Under the Serum Concentration Versus Time Curve (AUC) of Azirkitug; Azirkitug Antidrug Antibody (ADA); Azirkitug Neutralizing Antidrug Antibody (nADA); Cmax of Budigalimab; Tmax of Budigalimab; t1/2 of Budigalimab; AUC of Budigalimab; Budigalimab ADA; Budigalimab nADA; Cmax of Telisotuzumab Adizutecan; Tmax of Telisotuzumab Adizutecan; t1/2 of Telisotuzumab Adizutecan; AUC of Telisotuzumab Adizutecan; Telisotuzumab Adizutecan ADA; Telisotuzumab Adizutecan nADA,Canada; Israel; Japan; South Korea; Taiwan; United States,2021-11-01,2027-07,,https://clinicaltrials.gov/study/NCT05005403,2026-09-21T00:38:01.688712+00:00
NCT03515941,Postoperative Chemoradiation or Chemotherapy After Preoperative Chemotherapy for Gastric Cancers,TERMINATED,EARLY_PHASE1,6,Tannaz Armaghany,Oxaliplatin; Capecitabine; Leucovorin; 5-fluorouracil; radiation,Number of Participants Who Complete the Recommended Therapy From Each Arm,United States,2018-06-22,2020-03-17,,https://clinicaltrials.gov/study/NCT03515941,2026-09-21T00:38:01.688718+00:00
NCT06791083,Clinical Study of Envafolimab Combined With Fruquintinib and Chemotherapy for Neoadjuvant Treatment of Gastric Cancer,RECRUITING,PHASE2,40,First Affiliated Hospital of Fujian Medical University,Envafolimab; Fruquintinib,Major pathological response rate (MPR),China,2024-06-20,2025-12,,https://clinicaltrials.gov/study/NCT06791083,2026-09-21T00:38:01.688724+00:00
NCT00014456,Combination Chemotherapy Plus Filgrastim in Treating Patients With Advanced Solid Tumors,COMPLETED,PHASE1,35,Dartmouth-Hitchcock Medical Center,filgrastim; docetaxel; gemcitabine hydrochloride,Determine the maximal tolerated dose of docetaxel in combination with gemcitabine given intravenously every 2 weeks with pegfilgrastim support; Define dose limiting adverse events associated with the combination,United States,2000-03,2005-10,,https://clinicaltrials.gov/study/NCT00014456,2026-09-21T00:38:01.688730+00:00
NCT07801027,A Trial of Pembrolizumab With Chemotherapy or Chemoradiotherapy in Participants From India With Different Types of Cancer (MK-3475-G44/KEYNOTE-G44),NOT_YET_RECRUITING,PHASE4,150,Merck Sharp & Dohme LLC,Pembrolizumab; Cisplatin; 5-Fluorouracil; Oxaliplatin; Capecitabine; Gemcitabine; External Beam Radiotherapy; Brachytherapy,Number of Participants Who Experienced One or More Adverse Events (AEs); Number of Participants Who Discontinued Study Intervention Due to an AE,,2026-11-06,2030-01-31,,https://clinicaltrials.gov/study/NCT07801027,2026-09-21T00:38:01.688737+00:00
